45,2,0.7377049180327869,Agent35@1,(Offer  bid:Bid[Price: 1400, Hard: 215, Screen: 17])
46,1,0.7540983606557377,BoulwareNegotiationParty@0,(Offer  bid:Bid[Price: 1200, Hard: 1024, Screen: 17])
46,2,0.7540983606557377,Agent35@1,(Offer  bid:Bid[Price: 1400, Hard: 215, Screen: 17])
47,1,0.7704918032786885,BoulwareNegotiationParty@0,(Offer  bid:Bid[Price: 1000, Hard: 215, Screen: 17])
47,2,0.7704918032786885,Agent35@1,(Offer  bid:Bid[Price: 1400, Hard: 215, Screen: 17])
48,1,0.7868852459016393,BoulwareNegotiationParty@0,(Offer  bid:Bid[Price: 1000, Hard: 215, Screen: 17])
48,2,0.7868852459016393,Agent35@1,(Offer  bid:Bid[Price: 1400, Hard: 215, Screen: 17])
49,1,0.8032786885245902,BoulwareNegotiationParty@0,(Offer  bid:Bid[Price: 1400, Hard: 1024, Screen: 17])
49,2,0.8032786885245902,Agent35@1,(Offer  bid:Bid[Price: 1400, Hard: 215, Screen: 17])
50,1,0.819672131147541,BoulwareNegotiationParty@0,(Offer  bid:Bid[Price: 1200, Hard: 512, Screen: 17])
50,2,0.819672131147541,Agent35@1,(Offer  bid:Bid[Price: 1400, Hard: 215, Screen: 17])
51,1,0.8360655737704918,BoulwareNegotiationParty@0,(Offer  bid:Bid[Price: 1000, Hard: 1024, Screen: 15])
51,2,0.8360655737704918,Agent35@1,(Offer  bid:Bid[Price: 1400, Hard: 512, Screen: 17])
52,1,0.8524590163934426,BoulwareNegotiationParty@0,(Offer  bid:Bid[Price: 1000, Hard: 1024, Screen: 15])
52,2,0.8524590163934426,Agent35@1,(Offer  bid:Bid[Price: 1400, Hard: 512, Screen: 17])
53,1,0.8688524590163934,BoulwareNegotiationParty@0,(Offer  bid:Bid[Price: 1200, Hard: 215, Screen: 17])
53,2,0.8688524590163934,Agent35@1,(Offer  bid:Bid[Price: 1400, Hard: 512, Screen: 17])
54,1,0.8852459016393442,BoulwareNegotiationParty@0,(Offer  bid:Bid[Price: 1400, Hard: 512, Screen: 17])
54,2,0.8852459016393442,Agent35@1,(Offer  bid:Bid[Price: 1400, Hard: 512, Screen: 17])
55,1,0.9016393442622951,BoulwareNegotiationParty@0,(Accept  bid:Bid[Price: 1400, Hard: 512, Screen: 17])
agreement,Bid[Price: 1400, Hard: 512, Screen: 17],0.5409391317442422,0.8034710746073015
